id;link;author;description;source;favorite_count;retweet_count;lang;tweet_type;user_statuses_count;user_friends_count;user_followers_count;boost_value
1;https://twitter.com/ballambinlove/statuses/1587394427420815360;ballambinlove;JakLingko Raih Penghargaan Best Integrated Transport System https://t.co/fpK3okqV6V;Twitter for Android;0;2;in;retweet;89494;760;1056;0,189393939
2;https://twitter.com/4215_aj/statuses/1587392287503712257;4215_aj;JakLingko Raih Penghargaan Best Integrated Transport System https://t.co/fpK3okqV6V;UberSocial for Android;0;2;in;retweet;15064;350;129;1,550387597
3;https://twitter.com/cnbcindonesia/statuses/1587391069251325952;cnbcindonesia;JakLingko Raih Penghargaan Best Integrated Transport System https://t.co/fpK3okqV6V;detikcommunity;2;2;in;original;281456;34;184370;2,001084775
4;https://twitter.com/ambisiious/statuses/1587384821336023041;ambisiious;@yujimiini @Askrlfess Kayak kartu Flazz atau jaklingko ya kak?;Twitter for Android;0;0;in;reply;29883;354;446;0
5;https://twitter.com/Jackv52349443/statuses/1587384279889285121;Jackv52349443;@aniesbaswedan @DKIJakarta @HarianDisway Emg bener sih... sjk awal 2019 punya kartu JakLingko smpai skrg, kalo dihitung2 udah bisa hemat ongkos sampai puluhan juta (mungkin). Rute JakLingko skrg udah 80-an seJkt dlm wkt 4 thn aja, gak cuma Bundaran HI-Lbk Bulus sama Pegangsaan-Velodrome yg sepi kaya org sebelah sono 😂;Twitter for Android;0;2;in;retweet;11495;412;358;0,558659218
6;https://twitter.com/sonsih56/statuses/1587381462617141248;sonsih56;@aniesbaswedan @DKIJakarta @HarianDisway Emg bener sih... sjk awal 2019 punya kartu JakLingko smpai skrg, kalo dihitung2 udah bisa hemat ongkos sampai puluhan juta (mungkin). Rute JakLingko skrg udah 80-an seJkt dlm wkt 4 thn aja, gak cuma Bundaran HI-Lbk Bulus sama Pegangsaan-Velodrome yg sepi kaya org sebelah sono 😂;Twitter Web App;0;2;in;retweet;26110;1613;1269;0,157604413
7;https://twitter.com/SemutMerah2024/statuses/1587379471048642560;SemutMerah2024;Moment Pak @aniesbaswedan jd Sopir Angkot Jaklingko. https://t.co/c93iHKvCPv;Twitter for Android;0;0;in;original;4114;4515;4366;0
8;https://twitter.com/abiarsaumar/statuses/1587378419821527040;abiarsaumar;@abdabbad @PutraErlangga95 Jaklingko yg merah lebih banyak tuh drun. Gak suruh ngecet aja jd biru semua🤣🤣🤣🤣🤣transjakarta mayoritas punya swasta ditempeli tulisan jaklingko dijadikan prestasi yg membagongkan. Kirain gratis beneran pake jaklingko🤣🤣🤣🤣;Twitter for Android;0;0;in;reply;14294;1898;1663;0
9;https://twitter.com/PT_Transjakarta/statuses/1587373566890221568;PT_Transjakarta;"@AgusRachmanto12 Hai Kak. Mohon maaf atas kendala yang dialami, mengenai saldo terpotong 2 kali, silakan laporkan ke nomor Customer Care JakLingko yang dapat di hubungi :
📱 (Whatsapp) : 0812-6000-1440
☎️ (Phone) : 021-29223034
📩 (Email) : customercare@jaklingkoindonesia.co.id. Terima kasih ^Ap";Genesys Social Engagement.;0;0;in;reply;430084;22;482400;0
10;https://twitter.com/akucintaistriku/statuses/1587372627148279808;akucintaistriku;"Klo Pak Anies melakukan pengawasan lsg program beliau JakLingko, klo Pak Ganjar ya lg buat vlog aja buat kepentingan medsos.
Cuman ya namanya pendukung kita dasarnya kecintaan, tanpa melihat rekam jejak, dll. https://t.co/LqHOMKwtuL";Twitter for Android;0;0;in;quote;596;413;5;0
11;https://twitter.com/franksugimoto/statuses/1587371966335709184;franksugimoto;@HELLODIMAS Angkot Jaklingko 10A td naik di masjid BUMN;Twitter for iPhone;0;0;in;reply;1592;120;103;0
12;https://twitter.com/herybertuz/statuses/1587366349730246658;herybertuz;@Dee_iaz @PT_Transjakarta komplain 2x kepotong di respon dengan diberikan kartu jaklingko isi 50rb 👍🏽 https://t.co/zzUKLnXzvL;Twitter for Android;0;0;in;reply;17856;419;808;0
